handle,layer,dxftype,shape_class,n_vertices,is_convex,convex_fill,area_in2,perim_in,circularity,bbox_w_in,bbox_h_in,mrr_w_in,mrr_h_in,current_label,proposed_label,changed,anomalies
17D1,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
17D2,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,35.49,35.49,28.0,28.0,28x28,28x28,False,
17D3,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
17D4,COLS,LWPOLYLINE,rect,4,True,1.0,816.0,116.0,0.7621,39.9,33.62,24.0,34.0,24x34,24x34,False,
17D5,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,36.11,32.34,24.0,30.0,24x30,24x30,False,
17D6,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,27.22,20.95,14.0,24.0,14x24,14x24,False,
17D7,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,29.5,35.15,21.0,30.0,21x30,21x30,False,
17D8,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,31.06,32.32,24.0,26.0,24x26,24x26,False,
17D9,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,27.22,20.95,14.0,24.0,14x24,14x24,False,
17DA,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,29.5,35.15,21.0,30.0,21x30,21x30,False,
17DB,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
17DC,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
17DD,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,27.22,20.95,14.0,24.0,14x24,14x24,False,
